Customer ID,Age,Gender,City,Region,Annual Income,Total Purchases,Total Spending,Average Order Value,Purchase Frequency,Last Purchase Date,Recency,Preferred Category,Customer Type
CUST-0115,32,Male,Raleigh,South,60347.61,5,739.71,147.94,5,2026-08-17,7,Technology,Returning
CUST-0116,37,Male,Los Angeles,West,71579.79,9,1388.26,154.25,7,2026-06-10,75,Technology,New
CUST-0117,25,Female,Chicago,Central,46261.51,9,958.83,106.54,8,2026-07-25,30,Fashion,Returning
CUST-0118,27,Male,Orlando,South,83444.93,8,668.19,83.52,8,2026-07-29,26,Fashion,Loyal
CUST-0119,35,Female,San Diego,West,103223.56,21,2027.24,96.54,12,2026-06-19,66,Furniture,Loyal
CUST-0120,37,Male,Cambridge,East,46710.57,14,1569.74,112.12,8,2026-02-19,186,Groceries,Returning
CUST-0121,42,Male,Raleigh,South,34427.75,7,442.86,63.27,6,2026-07-04,51,Fashion,Returning
CUST-0122,49,Female,Austin,Central,56075.33,8,342.03,42.75,7,2026-07-25,30,Fashion,Returning
CUST-0123,18,Female,Tampa,South,85493.89,24,2857.3,119.05,13,2026-06-10,75,Home Essentials,New
CUST-0124,35,Male,Eugene,West,74424.18,4,484.0,121.0,4,2026-05-04,112,Technology,New
CUST-0125,55,Male,Atlanta,South,36422.58,6,585.3,97.55,5,2026-08-23,1,Fashion,Returning
CUST-0126,21,Male,Cambridge,East,73015.52,17,2562.01,150.71,10,2026-06-26,59,Technology,Returning
CUST-0127,21,Female,Miami,South,75448.57,25,2801.18,112.05,14,2026-07-06,49,Home Essentials,Loyal
CUST-0128,44,Female,Denver,Central,90580.05,17,2730.77,160.63,9,2026-05-25,91,Technology,Returning
CUST-0129,60,Male,Orlando,South,75815.86,3,314.47,104.82,2,2026-08-02,22,Office Supplies,New
CUST-0130,21,Female,Austin,Central,86613.14,1,97.41,97.41,1,2025-11-17,280,Fashion,New
CUST-0131,48,Male,Eugene,West,76124.9,15,1675.68,111.71,10,2026-04-27,119,Home Essentials,Loyal
CUST-0132,51,Male,New York City,East,73611.1,3,356.92,118.97,2,2026-08-23,1,Fashion,New
CUST-0133,40,Female,Savannah,South,97014.27,2,263.4,131.7,2,2026-07-05,50,Technology,New
CUST-0134,18,Male,Austin,Central,69203.79,11,1780.53,161.87,9,2026-04-16,130,Furniture,New
CUST-0135,33,Male,Denver,Central,78150.36,11,546.48,49.68,8,2026-07-24,31,Furniture,New
CUST-0136,69,Male,Savannah,South,93118.45,14,1069.35,76.38,13,2026-08-19,5,Office Supplies,Returning
CUST-0137,42,Male,San Diego,West,83435.24,22,3569.35,162.24,12,2026-07-05,50,Furniture,Returning
CUST-0138,47,Female,Pittsburgh,East,35157.73,17,1870.48,110.03,13,2026-08-02,22,Furniture,Returning
CUST-0139,46,Male,Boulder,Central,89250.7,22,2271.98,103.27,12,2026-05-06,110,Groceries,Loyal
CUST-0140,28,Female,Buffalo,East,94190.84,11,1841.92,167.45,9,2026-05-25,91,Groceries,New
CUST-0141,44,Male,Savannah,South,93419.6,12,890.3,74.19,7,2026-07-08,47,Fashion,Returning
CUST-0142,50,Female,Los Angeles,West,56953.65,23,2321.17,100.92,16,2026-07-20,35,Technology,Returning
CUST-0143,37,Male,Boston,East,47296.41,16,1948.53,121.78,13,2026-08-19,5,Office Supplies,Loyal
CUST-0144,49,Male,Savannah,South,78328.57,20,1389.03,69.45,11,2026-02-16,189,Home Essentials,Returning
CUST-0145,48,Other,San Diego,West,37087.97,7,595.9,85.13,4,2026-08-15,9,Furniture,Returning
CUST-0146,50,Female,Pittsburgh,East,66911.42,9,826.62,91.85,5,2026-04-10,136,Fashion,New
CUST-0147,36,Female,Spokane,West,25917.89,5,477.69,95.54,5,2026-06-08,77,Furniture,New
CUST-0148,33,Female,San Francisco,West,107165.97,10,1396.9,139.69,7,2026-07-07,48,Technology,Returning
CUST-0149,37,Female,Denver,Central,95480.5,23,2531.12,110.05,14,2026-06-21,64,Technology,Loyal
CUST-0150,18,Male,Denver,Central,73861.26,16,1805.87,112.87,12,2026-08-22,2,Technology,Returning
CUST-0151,41,Male,Raleigh,South,51987.37,28,2508.8,89.6,19,2026-08-13,11,Furniture,Loyal
CUST-0152,63,Male,Denver,Central,88233.39,6,548.5,91.42,6,2026-05-12,104,Groceries,Returning
CUST-0153,42,Male,Spokane,West,77122.17,1,90.9,90.9,1,2026-08-08,16,Home Essentials,New
CUST-0154,40,Female,Miami,South,59654.79,10,1012.5,101.25,8,2026-08-09,15,Office Supplies,Returning
CUST-0155,48,Male,Boulder,Central,75793.39,7,1133.8,161.97,6,2026-07-22,33,Fashion,Returning
CUST-0156,50,Female,Miami,South,88423.68,14,1052.98,75.21,10,2026-07-14,41,Groceries,Returning
CUST-0157,29,Male,Savannah,South,49404.34,24,2174.04,90.59,18,2026-07-31,24,Groceries,Returning
CUST-0158,19,Male,Dallas,Central,72688.76,10,917.22,91.72,9,2025-10-10,318,Furniture,New
CUST-0159,40,Female,Pittsburgh,East,71884.83,14,1700.23,121.45,13,2026-08-18,6,Technology,Returning
CUST-0160,34,Female,Miami,South,76267.5,17,2320.35,136.49,11,2026-08-20,4,Technology,Loyal
CUST-0161,30,Female,Houston,Central,75121.97,10,1069.66,106.97,9,2026-08-19,5,Technology,Returning
CUST-0162,56,Female,Philadelphia,East,37421.16,13,1119.36,86.1,13,2026-08-23,1,Groceries,Returning
CUST-0163,55,Female,Atlanta,South,59974.47,13,1366.57,105.12,8,2026-04-05,141,Fashion,Returning
CUST-0164,30,Other,Seattle,West,106203.17,22,1751.72,79.62,16,2026-06-27,58,Office Supplies,Returning
CUST-0165,43,Female,San Francisco,West,69705.77,1,103.76,103.76,1,2026-04-08,138,Office Supplies,New
CUST-0166,43,Male,Houston,Central,85547.09,10,1136.94,113.69,9,2026-08-13,11,Home Essentials,New
CUST-0167,46,Female,Dallas,Central,41663.14,6,580.39,96.73,4,2026-08-08,16,Fashion,Loyal
CUST-0168,32,Female,Boston,East,79768.24,17,1903.85,111.99,9,2026-08-03,21,Groceries,Loyal
CUST-0169,35,Female,Raleigh,South,103907.42,5,571.49,114.3,5,2026-06-29,56,Groceries,New
CUST-0170,41,Male,Seattle,West,53655.37,17,1894.15,111.42,14,2026-08-22,2,Fashion,Loyal
CUST-0171,52,Male,Cambridge,East,45407.75,1,139.0,139.0,1,2026-03-31,146,Technology,New
CUST-0172,37,Female,Eugene,West,112330.43,12,1975.22,164.6,7,2026-08-18,6,Fashion,Returning
CUST-0173,30,Male,Chicago,Central,72661.66,5,767.7,153.54,4,2026-07-12,43,Home Essentials,New
CUST-0174,32,Male,Pittsburgh,East,117558.9,6,792.62,132.1,4,2025-11-09,288,Office Supplies,Returning
CUST-0175,39,Male,Raleigh,South,68706.97,10,1121.53,112.15,6,2026-08-01,23,Fashion,New
CUST-0176,54,Female,New York City,East,90293.96,1,136.36,136.36,1,2026-08-23,1,Groceries,New
CUST-0177,32,Male,Chicago,Central,72221.36,10,1216.97,121.7,10,2026-08-18,6,Office Supplies,Returning
CUST-0178,45,Male,Buffalo,East,43666.16,4,366.8,91.7,4,2025-11-06,291,Groceries,New
CUST-0179,39,Male,Cambridge,East,110243.9,2,302.06,151.03,2,2026-08-18,6,Home Essentials,Returning
CUST-0180,18,Male,Portland,West,106089.12,3,307.1,102.37,3,2026-08-18,6,Home Essentials,Returning
CUST-0181,47,Male,Spokane,West,44996.93,18,1825.43,101.41,17,2026-08-09,15,Furniture,Loyal
CUST-0182,41,Female,Pittsburgh,East,82006.44,5,327.41,65.48,4,2026-08-16,8,Office Supplies,Returning
CUST-0183,39,Female,Houston,Central,35632.86,10,1111.78,111.18,10,2025-08-24,365,Technology,New
CUST-0184,52,Male,Denver,Central,50598.63,6,760.94,126.82,4,2026-07-17,38,Groceries,Returning
CUST-0185,61,Male,Cambridge,East,83831.12,28,3615.46,129.12,19,2026-07-08,47,Office Supplies,Loyal
CUST-0186,23,Male,New York City,East,109058.97,4,780.75,195.19,4,2026-07-30,25,Office Supplies,New
CUST-0187,50,Female,Denver,Central,128158.35,15,2088.14,139.21,9,2026-02-08,197,Furniture,New
CUST-0188,36,Male,Orlando,South,68008.06,14,1831.63,130.83,13,2026-01-02,234,Groceries,Returning
CUST-0189,28,Male,Boston,East,22000,12,647.93,53.99,7,2026-07-27,28,Technology,Returning
CUST-0190,45,Female,Raleigh,South,64933.78,9,615.69,68.41,8,2026-06-15,70,Fashion,Returning
CUST-0191,20,Male,Seattle,West,40449.7,7,729.28,104.18,7,2026-08-18,6,Office Supplies,Returning
CUST-0192,39,Female,San Francisco,West,63566.37,14,2158.13,154.15,11,2026-03-25,152,Fashion,New
CUST-0193,56,Female,Charlotte,South,69577.16,1,59.26,59.26,1,2026-06-01,84,Technology,New
CUST-0194,27,Male,San Diego,West,109858.97,6,906.55,151.09,6,2026-06-24,61,Fashion,Loyal
CUST-0195,41,Female,Springfield,Central,62741.75,7,410.44,58.63,7,2026-08-20,4,Office Supplies,Returning
CUST-0196,18,Female,Denver,Central,73918.83,3,290.81,96.94,3,2026-07-28,27,Groceries,Returning
CUST-0197,55,Male,Pittsburgh,East,81701.11,3,378.41,126.14,2,2026-04-05,141,Groceries,New
CUST-0198,39,Female,Philadelphia,East,48108.79,8,756.27,94.53,6,2026-06-12,73,Technology,New
CUST-0199,30,Male,Springfield,Central,83959.39,19,1594.83,83.94,12,2026-07-31,24,Furniture,Loyal
CUST-0200,38,Female,Dallas,Central,76085.53,19,2560.06,134.74,11,2026-06-21,64,Office Supplies,Returning
CUST-0201,41,Female,Savannah,South,84054.57,1,97.28,97.28,1,2026-07-13,42,Furniture,Returning
CUST-0202,49,Female,New York City,East,78761.65,13,1415.93,108.92,12,2026-05-03,113,Fashion,Returning
CUST-0203,45,Male,Eugene,West,66497.71,6,621.6,103.6,6,2026-07-23,32,Office Supplies,Returning
CUST-0204,34,Male,Tampa,South,73168.64,4,657.76,164.44,3,2026-04-27,119,Technology,New
CUST-0205,30,Male,San Diego,West,34424.89,9,597.08,66.34,5,2026-08-08,16,Furniture,New
CUST-0206,33,Male,Boulder,Central,76735.3,9,1016.59,112.95,9,2026-07-16,39,Furniture,Loyal
CUST-0207,19,Male,Dallas,Central,83559.91,8,938.59,117.32,6,2026-06-15,70,Technology,Returning
CUST-0208,45,Female,Pittsburgh,East,47438.99,13,1038.42,79.88,12,2026-08-13,11,Fashion,Returning
CUST-0209,45,Female,Cambridge,East,101473.54,17,1493.34,87.84,11,2026-07-01,54,Groceries,Returning
CUST-0210,43,Male,Pittsburgh,East,80557.93,7,824.21,117.74,6,2026-07-06,49,Furniture,Returning
CUST-0211,18,Male,Denver,Central,110627.27,1,122.93,122.93,1,2026-04-02,144,Groceries,New
CUST-0212,59,Female,San Diego,West,67878.72,1,127.63,127.63,1,2026-08-22,2,Technology,New
CUST-0213,18,Female,Los Angeles,West,82610.15,28,4475.43,159.84,20,2026-06-04,81,Fashion,Loyal
CUST-0214,47,Female,Pittsburgh,East,65127.29,6,722.68,120.45,5,2026-05-05,111,Groceries,Returning
CUST-0215,23,Male,Houston,Central,82798.93,14,1694.62,121.04,12,2026-07-05,50,Fashion,Loyal
CUST-0216,36,Male,Boulder,Central,79260.35,10,934.52,93.45,10,2026-06-08,77,Furniture,Returning
CUST-0217,31,Male,Pittsburgh,East,75188.72,16,2214.84,138.43,15,2026-07-31,24,Technology,Returning
CUST-0218,53,Female,Philadelphia,East,67358.05,17,1642.4,96.61,11,2026-08-02,22,Technology,Loyal
CUST-0219,31,Female,Austin,Central,54993.51,7,572.29,81.76,7,2026-07-15,40,Home Essentials,Returning
CUST-0220,37,Male,Portland,West,73630.34,8,753.16,94.15,8,2026-06-13,72,Technology,Returning
CUST-0221,60,Male,Pittsburgh,East,60919.97,12,1368.75,114.06,7,2026-02-28,177,Home Essentials,New
CUST-0222,35,Male,Denver,Central,100259.65,8,821.89,102.74,7,2026-08-23,1,Technology,New
CUST-0223,35,Male,Miami,South,77176.38,6,1161.75,193.62,6,2026-08-15,9,Furniture,Loyal
CUST-0224,28,Male,San Francisco,West,104223.53,8,795.19,99.4,5,2026-06-28,57,Home Essentials,Loyal
CUST-0225,38,Male,Seattle,West,54740.71,13,1282.53,98.66,10,2026-07-27,28,Office Supplies,Loyal
CUST-0226,37,Male,Cambridge,East,43408.97,8,710.56,88.82,7,2026-05-25,91,Office Supplies,New
CUST-0227,29,Female,Boulder,Central,98906.55,9,1374.81,152.76,8,2026-07-26,29,Technology,Returning
CUST-0228,22,Female,Boston,East,79657.15,14,2056.37,146.88,8,2026-07-24,31,Groceries,Loyal
CUST-0229,18,Female,Philadelphia,East,128300.52,1,144.66,144.66,1,2026-04-11,135,Technology,New
CUST-0230,18,Female,Philadelphia,East,98083.2,1,107.23,107.23,1,2026-04-10,136,Fashion,Returning
CUST-0231,47,Female,Savannah,South,56600.71,14,1732.78,123.77,9,2025-12-22,245,Furniture,New
CUST-0232,40,Female,Cambridge,East,78207.18,1,68.67,68.67,1,2026-07-22,33,Fashion,New
CUST-0233,48,Female,San Francisco,West,95351.65,21,3016.58,143.65,15,2026-06-27,58,Furniture,Returning
CUST-0234,33,Male,San Diego,West,64629.9,19,2462.2,129.59,13,2026-08-14,10,Fashion,Loyal
CUST-0235,25,Male,Denver,Central,120032.68,6,797.81,132.97,4,2026-08-20,4,Office Supplies,New
CUST-0236,26,Male,San Francisco,West,92279.37,1,74.65,74.65,1,2026-04-27,119,Groceries,Returning
CUST-0237,44,Male,Seattle,West,94293.9,14,2444.96,174.64,11,2026-06-28,57,Fashion,Loyal
CUST-0238,18,Male,Savannah,South,63784.82,1,140.88,140.88,1,2026-08-23,1,Office Supplies,Returning
CUST-0239,33,Male,Pittsburgh,East,79122.77,23,2080.16,90.44,15,2026-07-28,27,Fashion,Returning
CUST-0240,26,Female,Portland,West,90413.06,9,1256.76,139.64,6,2026-05-10,106,Technology,New
CUST-0241,45,Female,Houston,Central,58967.66,6,312.51,52.08,4,2025-10-21,307,Fashion,New
CUST-0242,38,Female,Denver,Central,90380.41,8,959.61,119.95,5,2026-08-05,19,Fashion,New
CUST-0243,49,Female,Raleigh,South,77840.06,19,2057.73,108.3,13,2026-08-17,7,Office Supplies,Loyal
CUST-0244,37,Male,Boulder,Central,78358.88,4,413.43,103.36,4,2026-08-01,23,Home Essentials,New
CUST-0245,44,Female,Boston,East,86466.8,21,3441.99,163.9,13,2026-08-23,1,Office Supplies,Loyal
CUST-0246,20,Female,San Diego,West,80102.7,22,1883.12,85.6,13,2026-01-21,215,Groceries,Returning
CUST-0247,31,Male,Portland,West,82219.49,1,103.63,103.63,1,2026-08-15,9,Groceries,New
CUST-0248,25,Male,Los Angeles,West,33820.91,18,1354.53,75.25,17,2026-06-27,58,Furniture,Loyal
CUST-0249,30,Female,Los Angeles,West,22000,8,754.63,94.33,5,2026-06-05,80,Office Supplies,Returning
CUST-0250,20,Female,Portland,West,79577.38,1,161.69,161.69,1,2026-08-11,13,Furniture,Returning
CUST-0251,33,Female,San Diego,West,103025.71,24,2137.65,89.07,14,2026-07-26,29,Technology,Loyal
CUST-0252,57,Male,Denver,Central,95026.3,5,649.58,129.92,3,2026-07-29,26,Furniture,New
