Order ID,Order Date,Product,Category,Sub-Category,Region,State,City,Customer Segment,Sales,Quantity,Discount,Profit
ORD-00070,2025-04-21,Bookshelf,Furniture,Storage,Central,Illinois,Springfield,Home Office,604.63,4,0.1,39.07
ORD-00071,2024-11-10,Ring Binder Set,Office Supplies,Binders,West,Washington,Seattle,Corporate,61.55,2,0.1,14.72
ORD-00072,2024-11-24,Archive Box,Office Supplies,Binders,East,Massachusetts,Cambridge,Home Office,31.78,3,0.15,4.61
ORD-00073,2024-04-25,Ring Binder Set,Office Supplies,Binders,Central,Illinois,Chicago,Corporate,109.39,4,0,27.55
ORD-00074,2024-10-26,Presentation Folder,Office Supplies,Binders,West,California,Los Angeles,Corporate,54.11,3,0.1,15.61
ORD-00075,2024-05-08,Laser Printer,Technology,Printers,East,Pennsylvania,Pittsburgh,Consumer,1085.09,3,0.15,38.81
ORD-00076,2023-06-01,USB-C Hub,Technology,Accessories,West,Washington,Spokane,Consumer,144.76,2,0.25,13.99
ORD-00077,2025-01-05,Inkjet Printer,Technology,Printers,East,Pennsylvania,Pittsburgh,Consumer,571.34,3,0.1,29.97
ORD-00078,2025-10-14,Ring Binder Set,Office Supplies,Binders,Central,Illinois,Chicago,Corporate,90.32,3,0.1,20.15
ORD-00079,2023-07-18,Marker Set,Office Supplies,Art,West,Washington,Seattle,Corporate,86.44,4,0,24.32
ORD-00080,2023-09-28,Archive Box,Office Supplies,Binders,West,Washington,Seattle,Consumer,72.49,5,0.05,14.47
ORD-00081,2023-08-24,Business Smartphone,Technology,Phones,Central,Texas,Austin,Corporate,4308.13,8,0.2,95.35
ORD-00082,2023-01-29,Visitor Chair,Furniture,Chairs,West,Oregon,Eugene,Corporate,485.34,5,0.2,11.12
ORD-00083,2024-11-02,Sticky Notes Pack,Office Supplies,Paper,East,Massachusetts,Cambridge,Corporate,11.61,1,0,3.8
ORD-00084,2024-04-25,Premium Notebook,Office Supplies,Paper,West,Oregon,Eugene,Corporate,95.87,4,0.15,17.98
ORD-00085,2024-07-26,Work Desk,Furniture,Tables,West,California,San Francisco,Consumer,907.58,3,0.05,137.23
ORD-00086,2024-01-24,Ring Binder Set,Office Supplies,Binders,Central,Colorado,Denver,Consumer,38.03,2,0.25,5.55
ORD-00087,2024-02-29,Wireless Desk Phone,Technology,Phones,Central,Colorado,Denver,Consumer,1076.64,10,0.25,-43.29
ORD-00088,2023-02-22,Work Desk,Furniture,Tables,Central,Texas,Houston,Consumer,210.08,1,0,39.73
ORD-00089,2025-01-11,Wireless Desk Phone,Technology,Phones,West,Oregon,Portland,Corporate,1059.5,6,0.1,96.72
ORD-00090,2025-09-07,Archive Box,Office Supplies,Binders,East,Pennsylvania,Pittsburgh,Consumer,11.06,1,0.05,2.52
ORD-00091,2024-10-27,Receipt Printer,Technology,Printers,West,Oregon,Eugene,Consumer,1187.88,4,0.15,57.28
ORD-00092,2024-03-16,Wireless Desk Phone,Technology,Phones,West,Washington,Spokane,Consumer,186.68,1,0,33.59
ORD-00093,2025-08-29,Ergo Office Chair,Furniture,Chairs,West,Oregon,Eugene,Corporate,767.28,3,0.05,141.07
ORD-00094,2024-12-25,Archive Box,Office Supplies,Binders,East,Massachusetts,Cambridge,Consumer,45.5,3,0,10.33
ORD-00095,2025-01-22,Coffee Table,Furniture,Tables,East,Massachusetts,Boston,Corporate,426.53,3,0.1,52.73
ORD-00096,2024-11-26,Business Smartphone,Technology,Phones,West,Washington,Seattle,Consumer,2148.86,3,0,295.01
ORD-00097,2024-11-29,Coffee Table,Furniture,Tables,West,Oregon,Portland,Home Office,118.16,1,0.1,13.06
ORD-00098,2025-05-18,Keyboard Combo,Technology,Accessories,West,Oregon,Portland,Consumer,67.13,1,0.1,12.35
ORD-00099,2024-03-27,Laser Printer,Technology,Printers,East,Massachusetts,Boston,Corporate,1971.75,4,0,252.37
ORD-00100,2023-09-22,Laser Printer,Technology,Printers,West,Oregon,Eugene,Consumer,1985.17,5,0,309.76
ORD-00101,2025-05-29,Receipt Printer,Technology,Printers,West,California,San Francisco,Consumer,535.28,2,0.15,30.71
ORD-00102,2023-06-30,Business Smartphone,Technology,Phones,West,Washington,Seattle,Consumer,1164.02,2,0,166.67
ORD-00103,2023-08-22,Wireless Desk Phone,Technology,Phones,West,Oregon,Portland,Consumer,174.87,1,0,37.18
ORD-00104,2023-12-29,Desk Organizer,Office Supplies,Art,West,Oregon,Eugene,Corporate,224.84,5,0.1,50.63
ORD-00105,2024-10-09,Visitor Chair,Furniture,Chairs,West,Washington,Spokane,Corporate,295.95,2,0,51.49
ORD-00106,2024-08-10,Executive Chair,Furniture,Chairs,Central,Illinois,Springfield,Corporate,2330.45,8,0.1,293.16
ORD-00107,2024-01-21,USB-C Hub,Technology,Accessories,East,New York,Buffalo,Consumer,524.88,6,0,121.36
ORD-00108,2024-05-22,Archive Box,Office Supplies,Binders,West,California,San Francisco,Consumer,26.9,2,0,7.3
ORD-00109,2024-11-16,Executive Chair,Furniture,Chairs,Central,Illinois,Springfield,Corporate,1077.86,3,0.2,87.53
ORD-00110,2023-10-17,Archive Box,Office Supplies,Binders,Central,Illinois,Chicago,Corporate,91.41,6,0,24.94
ORD-00111,2025-12-14,Bookshelf,Furniture,Storage,West,California,San Francisco,Consumer,2326.08,8,0,500.1
ORD-00112,2023-11-14,Executive Chair,Furniture,Chairs,Central,Colorado,Denver,Corporate,1986.65,5,0.05,320.19
ORD-00113,2023-12-06,Premium Notebook,Office Supplies,Paper,West,Oregon,Portland,Home Office,58.13,3,0.1,13.44
ORD-00114,2025-08-18,Premium Notebook,Office Supplies,Paper,Central,Colorado,Boulder,Consumer,35.52,2,0,11.83
ORD-00115,2023-10-11,Sticky Notes Pack,Office Supplies,Paper,West,Washington,Seattle,Corporate,25.1,2,0,8.76
ORD-00116,2025-11-17,Work Desk,Furniture,Tables,South,Florida,Orlando,Home Office,1241.99,6,0,229.89
ORD-00117,2023-06-17,Wireless Desk Phone,Technology,Phones,South,North Carolina,Raleigh,Corporate,181.03,1,0,32.41
ORD-00118,2025-08-18,Business Smartphone,Technology,Phones,East,New York,New York City,Corporate,2372.2,4,0.05,228.47
ORD-00119,2023-04-08,Storage Rack,Furniture,Storage,West,California,San Francisco,Corporate,159.16,1,0.05,18.71
ORD-00120,2024-12-23,Work Desk,Furniture,Tables,Central,Texas,Austin,Home Office,211.63,1,0.05,31.48
ORD-00121,2025-03-10,Sticky Notes Pack,Office Supplies,Paper,West,Washington,Spokane,Corporate,25.12,2,0,8.21
ORD-00122,2024-11-11,Coffee Table,Furniture,Tables,West,Oregon,Portland,Home Office,335.07,3,0.25,-2.33
ORD-00123,2025-07-26,Ergo Office Chair,Furniture,Chairs,Central,Texas,Dallas,Home Office,236.45,2,0.25,22.73
ORD-00124,2024-01-27,Conference Phone,Technology,Phones,West,California,San Francisco,Consumer,897.59,2,0,145.54
ORD-00125,2025-10-15,Inkjet Printer,Technology,Printers,South,North Carolina,Raleigh,Consumer,479.71,3,0.15,-12.75
ORD-00126,2024-08-28,Receipt Printer,Technology,Printers,West,Oregon,Eugene,Consumer,248.74,1,0.15,1.36
ORD-00127,2023-04-28,Bookshelf,Furniture,Storage,West,Oregon,Portland,Home Office,227.63,1,0.05,28.72
ORD-00128,2025-01-20,Laser Printer,Technology,Printers,Central,Colorado,Boulder,Home Office,603.16,2,0.1,29.97
ORD-00129,2024-07-24,Ergo Office Chair,Furniture,Chairs,Central,Illinois,Springfield,Home Office,148.06,1,0.1,27.57
ORD-00130,2025-10-02,Ergo Office Chair,Furniture,Chairs,West,Oregon,Eugene,Home Office,930.83,5,0.2,86.28
ORD-00131,2024-08-17,Sticky Notes Pack,Office Supplies,Paper,Central,Colorado,Denver,Corporate,19.74,2,0,7.33
ORD-00132,2023-02-23,Inkjet Printer,Technology,Printers,West,Oregon,Portland,Corporate,292.92,1,0,30.51
ORD-00133,2025-04-18,Copy Paper Box,Office Supplies,Paper,South,North Carolina,Charlotte,Consumer,137.03,3,0,33.1
ORD-00134,2024-01-08,Premium Notebook,Office Supplies,Paper,West,California,Los Angeles,Corporate,57.67,2,0,19.7
ORD-00135,2025-11-28,Premium Notebook,Office Supplies,Paper,East,Pennsylvania,Pittsburgh,Consumer,41.47,2,0.05,12.87
ORD-00136,2023-11-12,Storage Rack,Furniture,Storage,South,Georgia,Atlanta,Home Office,110.66,1,0,17.96
ORD-00137,2025-05-03,Wireless Desk Phone,Technology,Phones,South,North Carolina,Raleigh,Corporate,360.02,2,0,71.82
ORD-00138,2023-05-03,Conference Table,Furniture,Tables,West,Washington,Seattle,Consumer,3155.89,4,0.1,140.39
ORD-00139,2025-01-28,Wireless Desk Phone,Technology,Phones,East,New York,Buffalo,Consumer,179.26,1,0,35.35
ORD-00140,2023-11-24,Whiteboard Kit,Office Supplies,Art,West,California,San Francisco,Home Office,103.68,2,0.15,13.24
ORD-00141,2025-07-25,Sticky Notes Pack,Office Supplies,Paper,West,California,San Francisco,Corporate,57.49,5,0.1,17.17
ORD-00142,2025-06-01,Coffee Table,Furniture,Tables,West,Washington,Spokane,Consumer,144.76,1,0.05,19.09
ORD-00143,2025-07-11,Archive Box,Office Supplies,Binders,Central,Texas,Houston,Home Office,17.39,2,0.1,3.07
ORD-00144,2024-02-12,USB-C Hub,Technology,Accessories,East,New York,New York City,Corporate,346.11,4,0.05,63.59
ORD-00145,2024-10-14,Storage Rack,Furniture,Storage,South,North Carolina,Raleigh,Corporate,292.09,2,0.05,24.56
ORD-00146,2024-11-09,Archive Box,Office Supplies,Binders,West,Oregon,Portland,Corporate,19.2,1,0.1,3.01
ORD-00147,2023-04-16,Conference Phone,Technology,Phones,Central,Colorado,Boulder,Consumer,1177.75,3,0,178.11
ORD-00148,2024-10-04,USB-C Hub,Technology,Accessories,East,Pennsylvania,Pittsburgh,Home Office,281.57,4,0,67.9
ORD-00149,2025-09-06,Wireless Mouse,Technology,Accessories,West,Oregon,Eugene,Corporate,145.55,3,0.15,21.32
ORD-00150,2025-09-18,Visitor Chair,Furniture,Chairs,West,California,San Francisco,Corporate,487.95,4,0.1,54.77
ORD-00151,2024-07-14,Receipt Printer,Technology,Printers,West,Washington,Spokane,Home Office,987.97,4,0,150.68
ORD-00152,2025-06-24,Desk Organizer,Office Supplies,Art,East,Pennsylvania,Pittsburgh,Home Office,109.48,4,0,26.9
ORD-00153,2025-12-23,Ergo Office Chair,Furniture,Chairs,East,Massachusetts,Cambridge,Consumer,909.1,4,0,214.96
ORD-00154,2025-09-01,Wireless Desk Phone,Technology,Phones,West,Oregon,Portland,Home Office,140.3,1,0.05,26.51
ORD-00155,2023-12-25,Business Smartphone,Technology,Phones,South,Georgia,Savannah,Consumer,1719.53,4,0.15,76.77
ORD-00156,2023-08-08,Presentation Folder,Office Supplies,Binders,West,Oregon,Eugene,Home Office,12.58,1,0.05,3.37
ORD-00157,2025-07-28,Marker Set,Office Supplies,Art,East,Massachusetts,Cambridge,Corporate,94.42,4,0,30.57
ORD-00158,2025-11-21,USB-C Hub,Technology,Accessories,East,New York,Buffalo,Consumer,84.28,1,0,23.77
ORD-00159,2024-09-10,Laser Printer,Technology,Printers,East,Massachusetts,Boston,Consumer,418.47,1,0,66.19
ORD-00160,2024-09-28,Desk Organizer,Office Supplies,Art,West,California,Los Angeles,Home Office,64.07,2,0,17.66
ORD-00161,2025-08-22,Marker Set,Office Supplies,Art,Central,Colorado,Denver,Corporate,63.91,3,0,20.7
ORD-00162,2025-11-01,File Cabinet,Furniture,Storage,East,Pennsylvania,Pittsburgh,Consumer,163.51,1,0.05,30.23
ORD-00163,2025-07-17,Conference Table,Furniture,Tables,West,Oregon,Eugene,Corporate,1815.06,2,0,261.67
ORD-00164,2023-05-30,Coffee Table,Furniture,Tables,East,New York,New York City,Home Office,233.32,2,0,42.39
ORD-00165,2025-05-10,Keyboard Combo,Technology,Accessories,South,Georgia,Savannah,Consumer,355.77,8,0.15,40.41
ORD-00166,2025-03-15,Laser Printer,Technology,Printers,South,Florida,Orlando,Consumer,1486.16,4,0,193.11
ORD-00167,2023-11-14,File Cabinet,Furniture,Storage,East,Pennsylvania,Pittsburgh,Corporate,1120.45,6,0.15,136.77
ORD-00168,2025-07-03,Laser Printer,Technology,Printers,East,New York,Buffalo,Consumer,1247.89,3,0.1,129.74
ORD-00169,2024-04-24,Whiteboard Kit,Office Supplies,Art,West,Oregon,Eugene,Consumer,255.51,5,0.25,7.42
ORD-00170,2023-12-25,Archive Box,Office Supplies,Binders,West,Washington,Spokane,Corporate,34.14,2,0,9.19
ORD-00171,2025-08-27,Visitor Chair,Furniture,Chairs,South,Florida,Orlando,Home Office,186.9,3,0.2,8.42
ORD-00172,2024-02-21,Wireless Desk Phone,Technology,Phones,South,Florida,Tampa,Corporate,173.92,1,0,39.44
ORD-00173,2024-01-21,Whiteboard Kit,Office Supplies,Art,Central,Texas,Dallas,Consumer,359.42,6,0,72.73
ORD-00174,2023-08-29,Ring Binder Set,Office Supplies,Binders,Central,Colorado,Denver,Consumer,22.1,1,0,6.46
ORD-00175,2024-09-23,Bookshelf,Furniture,Storage,West,Oregon,Eugene,Corporate,570.18,2,0,117.55
ORD-00176,2023-10-26,Storage Rack,Furniture,Storage,West,Washington,Spokane,Consumer,338.01,2,0,54.94
ORD-00177,2024-11-22,Coffee Table,Furniture,Tables,Central,Illinois,Springfield,Consumer,616.82,4,0,123.12
ORD-00178,2023-05-01,Conference Phone,Technology,Phones,East,New York,Buffalo,Consumer,1015.99,3,0,182.51
ORD-00179,2023-05-04,Receipt Printer,Technology,Printers,South,North Carolina,Raleigh,Consumer,634.85,3,0,104.64
ORD-00180,2024-08-10,Storage Rack,Furniture,Storage,West,California,Los Angeles,Home Office,375.1,3,0,53.65
ORD-00181,2025-03-23,Conference Table,Furniture,Tables,West,Oregon,Portland,Consumer,4752.81,5,0,627.65
ORD-00182,2025-04-10,Inkjet Printer,Technology,Printers,East,New York,New York City,Consumer,893.52,5,0.1,35.03
ORD-00183,2025-12-17,Copy Paper Box,Office Supplies,Paper,South,North Carolina,Raleigh,Consumer,220.0,6,0.1,36.53
ORD-00184,2024-01-03,Ring Binder Set,Office Supplies,Binders,South,North Carolina,Charlotte,Corporate,97.14,4,0,25.8
ORD-00185,2025-03-07,Desk Organizer,Office Supplies,Art,West,Oregon,Portland,Corporate,134.72,3,0,31.84
ORD-00186,2024-04-20,Archive Box,Office Supplies,Binders,Central,Colorado,Boulder,Home Office,21.73,2,0.05,4.31
ORD-00187,2025-02-07,Receipt Printer,Technology,Printers,Central,Texas,Austin,Consumer,238.38,1,0,43.13
ORD-00188,2023-11-12,Presentation Folder,Office Supplies,Binders,East,New York,Buffalo,Consumer,60.17,4,0,19.63
ORD-00189,2025-11-15,Business Smartphone,Technology,Phones,West,California,San Diego,Corporate,1543.59,2,0,178.29
ORD-00190,2024-05-12,Conference Phone,Technology,Phones,West,California,San Francisco,Consumer,783.34,2,0,142.16
ORD-00191,2023-06-07,Conference Phone,Technology,Phones,Central,Colorado,Denver,Consumer,323.4,1,0,56.49
ORD-00192,2024-11-05,USB-C Hub,Technology,Accessories,South,Florida,Orlando,Consumer,587.75,8,0,166.31
ORD-00193,2024-08-19,Desk Organizer,Office Supplies,Art,South,Florida,Orlando,Consumer,117.45,5,0,31.54
ORD-00194,2024-01-04,Marker Set,Office Supplies,Art,South,Georgia,Atlanta,Consumer,29.39,2,0.1,6.17
ORD-00195,2025-10-19,Work Desk,Furniture,Tables,East,New York,Buffalo,Corporate,264.59,1,0.25,4.06
ORD-00196,2025-05-06,USB-C Hub,Technology,Accessories,South,North Carolina,Charlotte,Consumer,57.54,1,0.1,10.19
ORD-00197,2025-03-29,Presentation Folder,Office Supplies,Binders,East,New York,Buffalo,Consumer,64.71,4,0.05,18.27
ORD-00198,2025-08-06,Whiteboard Kit,Office Supplies,Art,West,Washington,Seattle,Corporate,111.62,2,0.2,6.8
ORD-00199,2024-12-14,Wireless Mouse,Technology,Accessories,West,Washington,Spokane,Consumer,172.82,4,0,52.92
ORD-00200,2023-02-16,Marker Set,Office Supplies,Art,Central,Texas,Austin,Consumer,15.92,1,0,4.54
ORD-00201,2025-04-09,Sticky Notes Pack,Office Supplies,Paper,Central,Illinois,Chicago,Corporate,55.35,5,0,18.49
ORD-00202,2024-07-24,Sticky Notes Pack,Office Supplies,Paper,East,Pennsylvania,Philadelphia,Consumer,10.38,1,0,3.97
ORD-00203,2024-10-03,Inkjet Printer,Technology,Printers,Central,Illinois,Springfield,Home Office,449.22,3,0.15,4.31
ORD-00204,2023-06-23,Ring Binder Set,Office Supplies,Binders,East,New York,New York City,Consumer,27.14,1,0,7.53
ORD-00205,2025-09-23,Whiteboard Kit,Office Supplies,Art,South,Florida,Tampa,Consumer,112.91,2,0,27.81
ORD-00206,2023-01-20,Wireless Desk Phone,Technology,Phones,South,North Carolina,Raleigh,Consumer,241.15,2,0.1,34.98
ORD-00207,2024-03-27,Wireless Mouse,Technology,Accessories,West,California,San Francisco,Corporate,217.62,4,0.05,51.89
ORD-00208,2025-01-21,Conference Phone,Technology,Phones,West,California,San Francisco,Consumer,1695.03,5,0.1,142.82
ORD-00209,2024-12-14,Premium Notebook,Office Supplies,Paper,South,Florida,Miami,Consumer,73.52,4,0.1,16.79
ORD-00210,2023-10-13,Copy Paper Box,Office Supplies,Paper,West,Oregon,Eugene,Corporate,46.76,1,0.25,3.14
ORD-00211,2025-11-19,Marker Set,Office Supplies,Art,East,Massachusetts,Boston,Home Office,91.75,5,0,29.01
ORD-00212,2024-05-21,Desk Organizer,Office Supplies,Art,West,Oregon,Eugene,Corporate,86.62,2,0,22.19
ORD-00213,2024-07-23,Presentation Folder,Office Supplies,Binders,South,Georgia,Atlanta,Home Office,63.81,5,0,21.4
ORD-00214,2023-05-10,Ring Binder Set,Office Supplies,Binders,South,Florida,Orlando,Consumer,115.02,5,0,32.38
ORD-00215,2024-12-04,Copy Paper Box,Office Supplies,Paper,East,Massachusetts,Boston,Consumer,219.59,5,0,46.81
ORD-00216,2023-09-28,Ring Binder Set,Office Supplies,Binders,South,Georgia,Atlanta,Corporate,30.52,1,0,8.42
ORD-00217,2024-09-17,Premium Notebook,Office Supplies,Paper,Central,Colorado,Denver,Consumer,32.6,2,0,9.15
ORD-00218,2024-12-04,Archive Box,Office Supplies,Binders,East,New York,New York City,Consumer,55.18,4,0,12.63
ORD-00219,2023-09-30,Marker Set,Office Supplies,Art,East,Pennsylvania,Philadelphia,Corporate,19.81,1,0,6.53
ORD-00220,2025-06-25,Copy Paper Box,Office Supplies,Paper,East,New York,Buffalo,Consumer,77.51,2,0.1,10.49
ORD-00221,2024-08-06,Marker Set,Office Supplies,Art,South,North Carolina,Raleigh,Consumer,43.7,3,0,14.03
ORD-00222,2024-05-05,Business Smartphone,Technology,Phones,West,Oregon,Portland,Corporate,4996.75,8,0.25,76.22
ORD-00223,2025-05-11,Laser Printer,Technology,Printers,Central,Texas,Houston,Corporate,519.95,1,0,65.45
ORD-00224,2024-08-09,Desk Organizer,Office Supplies,Art,West,Washington,Seattle,Corporate,106.47,3,0,30.86
ORD-00225,2023-11-15,USB-C Hub,Technology,Accessories,Central,Colorado,Denver,Consumer,119.98,2,0.2,18.06
